,Street,City,State,Zip
1,3416 WEST ST,Ames,IA,50014.0
3,1524 DOUGLAS AVE,Ames,IA,50010.0
4,2304 FILLMORE AVE,Ames,IA,50010.0
5,4003 MARIGOLD DR,Ames,IA,50014.0
6,212 10TH ST 210,Ames,IA,50010.0
7,2431 LAKESIDE DR,Ames,IA,50010.0
8,602 KEN MARIL RD,Ames,IA,50010.0
9,3901 MARIGOLD DR,Ames,IA,50014.0
11,700 KEN MARIL RD,Ames,IA,50010.0
12,1102 CARROLL AVE,Ames,IA,50010.0
13,2519 KELLOGG AVE,Ames,IA,50010.0
14,812 TENNYSON AVE,Ames,IA,50014.0
15,5220 MARYLAND ST,Ames,IA,50014.0
16,319 HARTFORD DR,Ames,IA,50014.0
17,2910 WOOD ST,Ames,IA,50014.0
18,2102 PRAIRIE VIEW EAST,Ames,IA,50010.0
19,424 TEAGARDEN DR,Ames,IA,50010.0
20,1514 CALIFORNIA AVE,Ames,IA,50014.0
21,1216 CARROLL AVE,Ames,IA,50010.0
22,626 MEADOW PL,Ames,IA,50010.0
23,829 DOUGLAS AVE,Ames,IA,50010.0
24,1342 BARKLEY CT,Ames,IA,50010.0
25,4205 CRESTMOOR AVE,Ames,IA,50010.0
26,3028 COTTONTAIL LN,Ames,IA,50014.0
27,2711 HAMPTON ST,Ames,IA,50010.0
28,1636 JOHNSON ST,Ames,IA,50010.0
29,3331 WESTON DR,Ames,IA,50010.0
30,926 DUFF AVE,Ames,IA,50010.0
31,4302 WELBECK DR,Ames,IA,50010.0
32,4103 CRESTMOOR AVE,Ames,IA,50010.0
33,816 BROOKRIDGE AVE,Ames,IA,50010.0
34,1522 MAXWELL AVE,Ames,IA,50010.0
35,3005 CEDAR LN,Ames,IA,50014.0
36,5408 CERVANTES DR,Ames,IA,50014.0
37,118 E 11TH ST,Ames,IA,50010.0
39,3323 BUCHANAN CT,Ames,IA,50010.0
40,1115 28TH ST,Ames,IA,50010.0
42,3013 ALMOND RD,Ames,IA,50014.0
43,302 OPAL CIR,Ames,IA,50010.0
45,1903 MEADOWLANE AVE,Ames,IA,50010.0
46,4015 TORONTO ST,Ames,IA,50014.0
48,1412 KELLOGG AVE,Ames,IA,50010.0
49,3335 PRESTON CIR,Ames,IA,50010.0
50,3908 WELBECK DR,Ames,IA,50010.0
51,3218 WEST ST,Ames,IA,50014.0
52,1010 GRAND AVE,Ames,IA,50010.0
53,1203 BURNETT AVE,Ames,IA,50010.0
54,426 HAYWARD AVE 428,Ames,IA,50014.0
55,2807 BRISTOL DR,Ames,IA,50010.0
56,3414 EISENHOWER AVE,Ames,IA,50010.0
57,4824 WALLER ST,Ames,IA,50014.0
58,3012 OAKLAND ST 3014,Ames,IA,50014.0
59,1306 SCOTT CIR,Ames,IA,50014.0
60,3207 STOCKBURY ST,Ames,IA,50010.0
61,808 NARLAND DR,Ames,IA,50010.0
62,2900 RIDGETOP RD,Ames,IA,50014.0
63,2614 SOUTHRIDGE CIR,Ames,IA,50014.0
64,301 S RUSSELL AVE,Ames,IA,50010.0
65,310 WESTWOOD DR,Ames,IA,50014.0
66,2805 BRISTOL DR,Ames,IA,50010.0
67,3317 PRESTON CIR,Ames,IA,50010.0
68,5203 SCHUBERT ST,Ames,IA,50014.0
69,3320 FOXLEY DR,Ames,IA,50010.0
70,410 THACKERAY AVE,Ames,IA,50014.0
72,2320 KNAPP ST,Ames,IA,50014.0
73,3142 BAYBERRY RD,Ames,IA,50014.0
74,3917 WELBECK DR,Ames,IA,50010.0
75,2841 ASPEN RD,Ames,IA,50010.0
76,5325 CERVANTES DR,Ames,IA,50014.0
77,433 ASPEN RIDGE RD,Ames,IA,50010.0
78,4316 HARRISON CIR,Ames,IA,50010.0
79,4210 WELBECK DR,Ames,IA,50010.0
81,704 BURNETT AVE,Ames,IA,50010.0
82,1314 BARKLEY CT,Ames,IA,50010.0
83,3007 DIAMOND ST,Ames,IA,50010.0
84,1523 GLENDALE AVE,Ames,IA,50010.0
85,1408 KELLOGG AVE,Ames,IA,50010.0
86,934 MESA VERDE PL,Ames,IA,50014.0
87,1124 SCHOLL RD,Ames,IA,50014.0
88,1206 MARSTON AVE,Ames,IA,50010.0
89,3902 ARKANSAS DR,Ames,IA,50014.0
90,611 RIDGEWOOD AVE,Ames,IA,50010.0
91,1015 CURTISS AVE,Ames,IA,50010.0
92,4025 BERKSHIRE AVE,Ames,IA,50010.0
93,2616 KINGSTON DR,Ames,IA,50010.0
94,1217 JEFFERSON ST,Ames,IA,50010.0
95,507 LYNN AVE,Ames,IA,50014.0
96,3411 TRIPP ST 3413,Ames,IA,50014.0
97,2713 HAMPTON ST,Ames,IA,50010.0
98,2004 BURNETT AVE,Ames,IA,50010.0
99,1302 MAXWELL AVE,Ames,IA,50010.0
100,615 MEADOW PL,Ames,IA,50010.0
101,2527 KELLOGG AVE,Ames,IA,50010.0
102,2024 PINEHURST DR,Ames,IA,50010.0
103,4619 CLEMENS BLVD,Ames,IA,50014.0
104,703 ONYX ST,Ames,IA,50010.0
105,1624 DOUGLAS AVE,Ames,IA,50010.0
106,2426 YORKSHIRE CIR,Ames,IA,50010.0
107,601 CHELSEA CT,Ames,IA,50014.0
108,2009 ROOSEVELT CIR,Ames,IA,50010.0
109,633 MEADOW PL,Ames,IA,50010.0
110,605 MEADOW PL,Ames,IA,50010.0
111,3305 PRESTON CIR,Ames,IA,50010.0
112,3021 OAKLAND ST,Ames,IA,50014.0
113,2510 BRISTOL DR,Ames,IA,50010.0
114,2009 STEVENSON DR,Ames,IA,50010.0
115,2604 DALTON ST,Ames,IA,50010.0
116,2705 HOOVER AVE,Ames,IA,50010.0
117,225 16TH ST,Ames,IA,50010.0
118,508 CARROLL AVE,Ames,IA,50010.0
119,2829 WHITE OAK DR,Ames,IA,50014.0
120,418 PEARSON AVE,Ames,IA,50014.0
121,2125 FURMAN DR,Ames,IA,50010.0
122,3914 ARKANSAS DR,Ames,IA,50014.0
123,3309 SOUTHDALE DR,Ames,IA,50010.0
124,1508 CALIFORNIA AVE,Ames,IA,50014.0
125,1218 N 3RD ST,Ames,IA,50010.0
126,532 WESTFIELD RD,Ames,IA,50014.0
127,1907 CLARK AVE,Ames,IA,50010.0
128,1430 RIDGEWOOD AVE,Ames,IA,50010.0
129,1604 CARROLL AVE,Ames,IA,50010.0
130,5214 MARYLAND ST,Ames,IA,50014.0
131,2311 SUNCREST DR,Ames,IA,50014.0
132,310 COLORADO CIR,Ames,IA,50014.0
133,2320 TIMBERLAND RD,Ames,IA,50014.0
134,2812 WOOD ST,Ames,IA,50014.0
135,5110 CLEMENS BLVD,Ames,IA,50014.0
136,5300 NORRIS ST,Ames,IA,50014.0
137,910 BROOKRIDGE AVE,Ames,IA,50010.0
138,4116 WELBECK DR,Ames,IA,50010.0
139,3010 KELLOGG AVE,Ames,IA,50010.0
140,1237 24TH ST,Ames,IA,50010.0
141,301 ABRAHAM DR,Ames,IA,50014.0
142,5505 DURANT ST,Ames,IA,50014.0
143,2002 MELROSE AVE,Ames,IA,50010.0
144,923 VERMONT CIR,Ames,IA,50014.0
145,3203 GARNER AVE,Ames,IA,50010.0
146,5301 CLEMENS BLVD,Ames,IA,50014.0
147,4239 STONE BROOKE RD,Ames,IA,50010.0
148,1401 JOHNSON ST,Ames,IA,50010.0
149,509 SMILEY AVE,Ames,IA,50014.0
150,2322 BAKER ST,Ames,IA,50014.0
151,1502 DOUGLAS AVE,Ames,IA,50010.0
152,2910 HARRISON RD,Ames,IA,50010.0
154,2869 GREENSBORO CIR,Ames,IA,50010.0
155,3905 MARIGOLD DR,Ames,IA,50014.0
156,1113 MARSTON AVE,Ames,IA,50010.0
157,414 WELLONS DR,Ames,IA,50014.0
158,1603 MEADOWLANE AVE 1605,Ames,IA,50010.0
159,2845 GREENSBORO CIR,Ames,IA,50010.0
160,221 16TH ST,Ames,IA,50010.0
161,2152 ASHMORE DR,Ames,IA,50014.0
162,5216 CLEMENS BLVD,Ames,IA,50014.0
163,2424 RIDGETOP CIR,Ames,IA,50014.0
164,2729 NORTHWOOD DR,Ames,IA,50010.0
165,1404 IDAHO AVE,Ames,IA,50014.0
166,1904 BUCHANAN DR,Ames,IA,50010.0
167,1222 CURTISS AVE,Ames,IA,50010.0
168,321 9TH ST,Ames,IA,50010.0
169,412 10TH ST,Ames,IA,50010.0
170,1311 KELLOGG AVE,Ames,IA,50010.0
171,109 S MAPLE AVE,Ames,IA,50010.0
172,1308 MEADOWLANE AVE,Ames,IA,50010.0
174,211 DOTSON DR,Ames,IA,50014.0
175,2625 YORKSHIRE ST,Ames,IA,50010.0
176,1018 VERMONT CT,Ames,IA,50014.0
177,3127 ASPEN RD,Ames,IA,50014.0
178,3815 ONTARIO ST,Ames,IA,50014.0
179,1309 KENTUCKY AVE,Ames,IA,50014.0
180,3412 TAFT AVE,Ames,IA,50010.0
181,1209 NORTHWESTERN AVE,Ames,IA,50010.0
182,3908 STONE BROOKE CIR,Ames,IA,
183,1001 ARIZONA AVE,Ames,IA,50014.0
184,2617 KINGSTON DR,Ames,IA,50010.0
185,3616 ROSS RD,Ames,IA,50014.0
186,609 NORTHWESTERN AVE,Ames,IA,50010.0
187,2013 CLARK AVE,Ames,IA,50010.0
188,1426 MAXWELL AVE,Ames,IA,50010.0
189,625 13TH ST,Ames,IA,50010.0
190,1308 STAFFORD AVE,Ames,IA,50010.0
191,3505 COY ST,Ames,IA,50014.0
192,2951 NORTHWESTERN AVE,Ames,IA,50010.0
193,802 BURNETT AVE,Ames,IA,50010.0
194,3217 RED FOX RD,Ames,IA,50014.0
195,519 OLIVER CIR,Ames,IA,50014.0
196,2513 WHITE OAK DR,Ames,IA,50014.0
197,1302 INDIANA AVE,Ames,IA,50014.0
198,3202 ASPEN RD,Ames,IA,50014.0
199,2732 NORTHRIDGE LN,Ames,IA,50010.0
200,1317 COOLIDGE DR,Ames,IA,50010.0
201,304 S RIVERSIDE DR,Ames,IA,50010.0
202,922 POE AVE,Ames,IA,50014.0
203,609 7TH ST,Ames,IA,50010.0
204,125 HARTFORD DR,Ames,IA,50014.0
205,1003 LINCOLN WAY,Ames,IA,50010.0
206,3217 EISENHOWER AVE,Ames,IA,50010.0
207,4029 FLETCHER BLVD,Ames,IA,50010.0
208,2117 GREENBRIAR CIR,Ames,IA,50014.0
209,1101 IOWA AVE,Ames,IA,50014.0
210,2517 SHERWOOD AVE,Ames,IA,50010.0
211,2611 STANGE RD,Ames,IA,50010.0
212,1306 NORTHWESTERN AVE,Ames,IA,50010.0
213,318 CRANE AVE,Ames,IA,50014.0
214,3807 BRIDGEPORT DR,Ames,IA,50010.0
215,1401 CARROLL AVE 1403,Ames,IA,50010.0
216,2505 BRADFORD DR,Ames,IA,50010.0
217,3131 SEDWICK ST,Ames,IA,50010.0
218,1719 DOUGLAS AVE,Ames,IA,50010.0
219,424 STANTON AVE,Ames,IA,50014.0
220,1802 BUCHANAN DR,Ames,IA,50010.0
221,1108 LINCOLN WAY,Ames,IA,50010.0
222,2304 KELLOGG AVE,Ames,IA,50010.0
223,1217 25TH ST,Ames,IA,50010.0
224,2722 WHITE OAK CIR,Ames,IA,50014.0
225,1323 CLARK AVE,Ames,IA,50010.0
226,1202 SCOTT AVE,Ames,IA,50014.0
227,1423 RIDGEWOOD AVE,Ames,IA,50010.0
228,3118 MAPLEWOOD RD,Ames,IA,50014.0
230,1008 MESA VERDE PL,Ames,IA,50014.0
231,3715 COLUMBINE CIR,Ames,IA,50010.0
232,1404 GRAND AVE,Ames,IA,50010.0
233,3136 BAYBERRY RD,Ames,IA,50014.0
234,1109 ROOSEVELT AVE,Ames,IA,50010.0
235,1124 IDAHO AVE,Ames,IA,50014.0
236,215 PARKRIDGE CIR,Ames,IA,50014.0
237,1017 FLORIDA AVE,Ames,IA,50014.0
238,612 STANTON AVE,Ames,IA,50014.0
239,428 KEN MARIL RD,Ames,IA,50010.0
240,611 MEADOW PL,Ames,IA,50010.0
241,2124 COUNTRY CLUB BLVD,Ames,IA,50014.0
242,3323 STOCKBURY ST,Ames,IA,50010.0
243,1526 HARDING AVE,Ames,IA,50010.0
244,3215 HARRISON RD,Ames,IA,50010.0
245,5321 DURANT ST,Ames,IA,50014.0
246,415 ASPEN RIDGE RD,Ames,IA,50010.0
247,1434 MEADOWLANE AVE,Ames,IA,50010.0
248,1428 ROOSEVELT AVE,Ames,IA,50010.0
249,4813 DOVER DR,Ames,IA,50014.0
250,4004 WELBECK DR,Ames,IA,50010.0
251,535 MEADOW CT,Ames,IA,50010.0
252,615 GARDEN RD,Ames,IA,50010.0
253,915 GASKILL DR,Ames,IA,50014.0
255,4012 HYDE AVE,Ames,IA,50010.0
256,1402 MEADOWLANE AVE,Ames,IA,50010.0
257,1704 DOUGLAS AVE,Ames,IA,50010.0
258,2717 BRISTOL DR,Ames,IA,50010.0
261,2625 CLAYTON DR,Ames,IA,50010.0
262,3310 WESTON DR,Ames,IA,50010.0
263,4005 BRICKMAN AVE,Ames,IA,50010.0
264,246 S FRANKLIN AVE,Ames,IA,50014.0
265,4107 ROSS RD,Ames,IA,50014.0
266,822 CARROLL AVE,Ames,IA,50010.0
267,4010 WELBECK DR,Ames,IA,50010.0
268,2908 ROXBORO DR,Ames,IA,50010.0
269,3827 MINNETONKA AVE,Ames,IA,50010.0
270,318 N RUSSELL AVE,Ames,IA,50010.0
271,2914 ROXBORO DR,Ames,IA,50010.0
272,4404 TODD DR,Ames,IA,50014.0
273,2710 BRISTOL DR,Ames,IA,50010.0
274,1712 AMHERST DR,Ames,IA,50014.0
275,2518 YORKSHIRE ST,Ames,IA,50010.0
276,4020 EDGEWATER DR,Ames,IA,50010.0
277,112 SANDBURG CT,Ames,IA,50014.0
278,117 S FRANKLIN AVE 119,Ames,IA,50014.0
279,809 POE AVE,Ames,IA,50014.0
280,1027 N 2ND ST,Ames,IA,50010.0
281,1506 MAXWELL AVE,Ames,IA,50010.0
282,212 ROCKWELL AVE,Ames,IA,50014.0
283,1304 ILLINOIS AVE,Ames,IA,50014.0
284,4712 TORONTO ST,Ames,IA,50014.0
285,211 E 16TH ST,Ames,IA,50010.0
286,1214 ADAMS ST,Ames,IA,50010.0
287,2818 SOMERSET DR,Ames,IA,50010.0
