"","Street, City, State, Zip","No_Match"
"1462","1111 BURNETT AVE, Ames, IA, 50010.0","Match","Exact","1111 BURNETT AVE, AMES, IA, 50010","-93.61553,42.032276","65947075","L","19","169","000900","2007"
"2551","307 ROCKWELL AVE, Ames, IA, 50014.0","Match","Exact","307 ROCKWELL AVE, AMES, IA, 50014","-93.68324,42.020943","65961762","R","19","169","001301","1022"
"1461","618 13TH ST, Ames, IA, 50010.0","Match","Exact","618 13TH ST, AMES, IA, 50010","-93.61897,42.034473","647645065","L","19","169","000900","2004"
"2550","423 PAULSON DR, Ames, IA, 50010.0","Match","Exact","423 PAULSON DR, AMES, IA, 50010","-93.60644,42.0407","65946584","L","19","169","000200","2000"
"1460","5011 EMERSON DR, Ames, IA, 50014.0","Match","Exact","5011 EMERSON DR, AMES, IA, 50014","-93.68506,42.01965","639648611","L","19","169","001301","1028"
"1459","607 E 13TH ST, Ames, IA, 50010.0","Match","Exact","607 13TH ST, AMES, IA, 50010","-93.61878,42.03448","647645065","R","19","169","000200","3010"
"2306","719 KELLOGG AVE, Ames, IA, 50010.0","Match","Exact","719 KELLOGG AVE, AMES, IA, 50010","-93.613785,42.028183","65947096","L","19","169","000900","4009"
"2548","3905 QUEBEC ST, Ames, IA, 50014.0","Match","Exact","3905 QUEBEC ST, AMES, IA, 50014","-93.67136,42.033318","65945624","R","19","169","000600","3014"
"1458","223 E 6TH ST, Ames, IA, 50010.0","Match","Exact","223 6TH ST, AMES, IA, 50010","-93.612564,42.026947","65947125","R","19","169","000900","4013"
"2305","120 E 7TH ST, Ames, IA, 50010.0","Match","Exact","120 7TH ST, AMES, IA, 50010","-93.61092,42.02798","647652558","L","19","169","000900","4012"
"2547","621 RIDGEWOOD AVE, Ames, IA, 50010.0","Match","Exact","621 RIDGEWOOD AVE, AMES, IA, 50010","-93.62537,42.027153","65946855","L","19","169","000900","1032"
"1457","2204 DUFF AVE, Ames, IA, 50010.0","Match","Exact","2204 DUFF AVE, AMES, IA, 50010","-93.61326,42.04423","65946488","R","19","169","000200","1010"
"1699","3220 MAGNOLIA CIR, Ames, IA, 50014.0","Match","Exact","3220 MAGNOLIA CIR, AMES, IA, 50014","-93.65241,42.0533","65964128","L","19","169","000100","6018"
"2304","1431 MARSTON AVE, Ames, IA, 50010.0","Match","Exact","1431 MARSTON AVE, AMES, IA, 50010","-93.623634,42.03624","65946381","L","19","169","000400","3010"
"2546","3626 STORY ST, Ames, IA, 50014.0","Match","Exact","3626 STORY ST, AMES, IA, 50014","-93.66745,42.02421","65945751","L","19","169","000700","1006"
"1456","1312 CARROLL AVE, Ames, IA, 50010.0","Match","Exact","1312 CARROLL AVE, AMES, IA, 50010","-93.60897,42.034756","65946570","R","19","169","000200","3018"
"1698","3020 HARRISON RD, Ames, IA, 50010.0","Match","Exact","3020 HARRISON RD, AMES, IA, 50010","-93.65023,42.059254","641426342","L","19","169","000100","2028"
"2303","4309 HARRISON CIR, Ames, IA, 50010.0","Match","Exact","4309 HARRISON CIR, AMES, IA, 50010","-93.635956,42.062878","636279710","R","19","169","000100","2021"
"2545","609 ONYX ST, Ames, IA, 50010.0","Match","Exact","609 ONYX ST, AMES, IA, 50010","-93.60403,41.996","65957264","R","19","169","001302","2022"
"1455","3808 HYDE AVE, Ames, IA, 50010.0","Match","Exact","3808 HYDE AVE, AMES, IA, 50010","-93.64105,42.05857","637369033","R","19","169","000100","2061"
"1697","3003 ROXBORO DR, Ames, IA, 50010.0","Match","Exact","3003 ROXBORO DR, AMES, IA, 50010","-93.6513,42.05858","65958306","R","19","169","000100","2030"
"2302","3820 BERKSHIRE AVE, Ames, IA, 50010.0","Match","Exact","3820 BERKSHIRE AVE, AMES, IA, 50010","-93.63914,42.059216","65954184","L","19","169","000100","2062"
"2544","3838 BRICKMAN AVE, Ames, IA, 50010.0","Match","Exact","3838 BRICKMAN AVE, AMES, IA, 50010","-93.642975,42.059505","65957131","R","19","169","000100","2008"
"1454","3337 WESTON DR, Ames, IA, 50010.0","Match","Exact","3337 WESTON DR, AMES, IA, 50010","-93.657585,42.061214","649977421","L","19","169","000100","2047"
"1696","311 11TH ST, Ames, IA, 50010.0","Match","Exact","311 11TH ST, AMES, IA, 50010","-93.61417,42.032093","647663809","R","19","169","000900","2008"
